"Notes","MMWR Week","MMWR Week Code","UCD - ICD Chapter","UCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01","Neoplasms","C00-D48",10263,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Neoplasms","C00-D48",12408,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Neoplasms","C00-D48",11871,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Neoplasms","C00-D48",11812,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Neoplasms","C00-D48",11499,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Neoplasms","C00-D48",11912,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07","Neoplasms","C00-D48",11717,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08","Neoplasms","C00-D48",11515,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09","Neoplasms","C00-D48",11358,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10","Neoplasms","C00-D48",11640,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11","Neoplasms","C00-D48",11371,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12","Neoplasms","C00-D48",11489,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13","Neoplasms","C00-D48",11157,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14","Neoplasms","C00-D48",11385,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15","Neoplasms","C00-D48",11505,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16","Neoplasms","C00-D48",11260,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17","Neoplasms","C00-D48",11439,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18","Neoplasms","C00-D48",11548,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19","Neoplasms","C00-D48",11071,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20","Neoplasms","C00-D48",10995,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21","Neoplasms","C00-D48",11268,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22","Neoplasms","C00-D48",11130,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23","Neoplasms","C00-D48",11300,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24","Neoplasms","C00-D48",11215,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25","Neoplasms","C00-D48",11320,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26","Neoplasms","C00-D48",11276,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27","Neoplasms","C00-D48",11397,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28","Neoplasms","C00-D48",11142,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29","Neoplasms","C00-D48",11175,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30","Neoplasms","C00-D48",11384,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31","Neoplasms","C00-D48",11361,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32","Neoplasms","C00-D48",11444,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33","Neoplasms","C00-D48",11289,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34","Neoplasms","C00-D48",11550,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35","Neoplasms","C00-D48",11341,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36","Neoplasms","C00-D48",11220,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37","Neoplasms","C00-D48",11462,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38","Neoplasms","C00-D48",11635,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39","Neoplasms","C00-D48",11403,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40","Neoplasms","C00-D48",11637,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41","Neoplasms","C00-D48",11592,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42","Neoplasms","C00-D48",11622,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43","Neoplasms","C00-D48",11769,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44","Neoplasms","C00-D48",11685,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45","Neoplasms","C00-D48",11657,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47","Neoplasms","C00-D48",11717,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48","Neoplasms","C00-D48",11388,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50","Neoplasms","C00-D48",11895,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51","Neoplasms","C00-D48",11729,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52","Neoplasms","C00-D48",11423,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01","Neoplasms","C00-D48",11634,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02","Neoplasms","C00-D48",11864,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03","Neoplasms","C00-D48",11853,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04","Neoplasms","C00-D48",11709,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05","Neoplasms","C00-D48",11731,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06","Neoplasms","C00-D48",11693,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07","Neoplasms","C00-D48",11671,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08","Neoplasms","C00-D48",11748,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09","Neoplasms","C00-D48",11531,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10","Neoplasms","C00-D48",11828,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11","Neoplasms","C00-D48",11736,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12","Neoplasms","C00-D48",11510,Not Applicable,Not Applicable
,"2019 Week 13 ending March 30, 2019","2019/13","Neoplasms","C00-D48",11437,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14","Neoplasms","C00-D48",11458,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15","Neoplasms","C00-D48",11306,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16","Neoplasms","C00-D48",11237,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17","Neoplasms","C00-D48",11187,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18","Neoplasms","C00-D48",11334,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19","Neoplasms","C00-D48",11347,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20","Neoplasms","C00-D48",11513,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21","Neoplasms","C00-D48",11634,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22","Neoplasms","C00-D48",11283,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23","Neoplasms","C00-D48",11205,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24","Neoplasms","C00-D48",11471,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25","Neoplasms","C00-D48",11329,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26","Neoplasms","C00-D48",11420,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27","Neoplasms","C00-D48",11183,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28","Neoplasms","C00-D48",11360,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29","Neoplasms","C00-D48",11290,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30","Neoplasms","C00-D48",11377,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31","Neoplasms","C00-D48",11422,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32","Neoplasms","C00-D48",11336,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33","Neoplasms","C00-D48",11345,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34","Neoplasms","C00-D48",11429,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35","Neoplasms","C00-D48",11413,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36","Neoplasms","C00-D48",11384,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37","Neoplasms","C00-D48",11409,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38","Neoplasms","C00-D48",11276,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39","Neoplasms","C00-D48",11676,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40","Neoplasms","C00-D48",11446,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41","Neoplasms","C00-D48",11631,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42","Neoplasms","C00-D48",11686,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43","Neoplasms","C00-D48",11644,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44","Neoplasms","C00-D48",11591,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45","Neoplasms","C00-D48",11807,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46","Neoplasms","C00-D48",11636,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47","Neoplasms","C00-D48",11641,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48","Neoplasms","C00-D48",11316,Not Applicable,Not Applicable
,"2019 Week 49 ending December 07, 2019","2019/49","Neoplasms","C00-D48",11448,Not Applicable,Not Applicable
,"2019 Week 50 ending December 14, 2019","2019/50","Neoplasms","C00-D48",11571,Not Applicable,Not Applicable
,"2019 Week 51 ending December 21, 2019","2019/51","Neoplasms","C00-D48",11633,Not Applicable,Not Applicable
,"2019 Week 52 ending December 28, 2019","2019/52","Neoplasms","C00-D48",11472,Not Applicable,Not Applicable
,"2020 Week 01 ending January 04, 2020","2020/01","Neoplasms","C00-D48",11560,Not Applicable,Not Applicable
,"2020 Week 02 ending January 11, 2020","2020/02","Neoplasms","C00-D48",11939,Not Applicable,Not Applicable
,"2020 Week 03 ending January 18, 2020","2020/03","Neoplasms","C00-D48",11684,Not Applicable,Not Applicable
,"2020 Week 04 ending January 25, 2020","2020/04","Neoplasms","C00-D48",11855,Not Applicable,Not Applicable
,"2020 Week 05 ending February 01, 2020","2020/05","Neoplasms","C00-D48",11937,Not Applicable,Not Applicable
,"2020 Week 06 ending February 08, 2020","2020/06","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2020 Week 07 ending February 15, 2020","2020/07","Neoplasms","C00-D48",11789,Not Applicable,Not Applicable
,"2020 Week 08 ending February 22, 2020","2020/08","Neoplasms","C00-D48",11768,Not Applicable,Not Applicable
,"2020 Week 09 ending February 29, 2020","2020/09","Neoplasms","C00-D48",11770,Not Applicable,Not Applicable
,"2020 Week 10 ending March 07, 2020","2020/10","Neoplasms","C00-D48",11688,Not Applicable,Not Applicable
,"2020 Week 11 ending March 14, 2020","2020/11","Neoplasms","C00-D48",11552,Not Applicable,Not Applicable
,"2020 Week 12 ending March 21, 2020","2020/12","Neoplasms","C00-D48",11718,Not Applicable,Not Applicable
,"2020 Week 13 ending March 28, 2020","2020/13","Neoplasms","C00-D48",11758,Not Applicable,Not Applicable
,"2020 Week 14 ending April 04, 2020","2020/14","Neoplasms","C00-D48",11574,Not Applicable,Not Applicable
,"2020 Week 15 ending April 11, 2020","2020/15","Neoplasms","C00-D48",11532,Not Applicable,Not Applicable
,"2020 Week 16 ending April 18, 2020","2020/16","Neoplasms","C00-D48",11199,Not Applicable,Not Applicable
,"2020 Week 17 ending April 25, 2020","2020/17","Neoplasms","C00-D48",11348,Not Applicable,Not Applicable
,"2020 Week 18 ending May 02, 2020","2020/18","Neoplasms","C00-D48",11082,Not Applicable,Not Applicable
,"2020 Week 19 ending May 09, 2020","2020/19","Neoplasms","C00-D48",11000,Not Applicable,Not Applicable
,"2020 Week 20 ending May 16, 2020","2020/20","Neoplasms","C00-D48",11260,Not Applicable,Not Applicable
,"2020 Week 21 ending May 23, 2020","2020/21","Neoplasms","C00-D48",11101,Not Applicable,Not Applicable
,"2020 Week 22 ending May 30, 2020","2020/22","Neoplasms","C00-D48",10891,Not Applicable,Not Applicable
,"2020 Week 23 ending June 06, 2020","2020/23","Neoplasms","C00-D48",11069,Not Applicable,Not Applicable
,"2020 Week 24 ending June 13, 2020","2020/24","Neoplasms","C00-D48",11117,Not Applicable,Not Applicable
,"2020 Week 25 ending June 20, 2020","2020/25","Neoplasms","C00-D48",11147,Not Applicable,Not Applicable
,"2020 Week 26 ending June 27, 2020","2020/26","Neoplasms","C00-D48",11344,Not Applicable,Not Applicable
,"2020 Week 27 ending July 04, 2020","2020/27","Neoplasms","C00-D48",11283,Not Applicable,Not Applicable
,"2020 Week 28 ending July 11, 2020","2020/28","Neoplasms","C00-D48",11319,Not Applicable,Not Applicable
,"2020 Week 29 ending July 18, 2020","2020/29","Neoplasms","C00-D48",11354,Not Applicable,Not Applicable
,"2020 Week 30 ending July 25, 2020","2020/30","Neoplasms","C00-D48",11547,Not Applicable,Not Applicable
,"2020 Week 31 ending August 01, 2020","2020/31","Neoplasms","C00-D48",11499,Not Applicable,Not Applicable
,"2020 Week 32 ending August 08, 2020","2020/32","Neoplasms","C00-D48",11513,Not Applicable,Not Applicable
,"2020 Week 33 ending August 15, 2020","2020/33","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2020 Week 34 ending August 22, 2020","2020/34","Neoplasms","C00-D48",11508,Not Applicable,Not Applicable
,"2020 Week 35 ending August 29, 2020","2020/35","Neoplasms","C00-D48",11561,Not Applicable,Not Applicable
,"2020 Week 36 ending September 05, 2020","2020/36","Neoplasms","C00-D48",11363,Not Applicable,Not Applicable
,"2020 Week 37 ending September 12, 2020","2020/37","Neoplasms","C00-D48",11460,Not Applicable,Not Applicable
,"2020 Week 38 ending September 19, 2020","2020/38","Neoplasms","C00-D48",11609,Not Applicable,Not Applicable
,"2020 Week 39 ending September 26, 2020","2020/39","Neoplasms","C00-D48",11858,Not Applicable,Not Applicable
,"2020 Week 40 ending October 03, 2020","2020/40","Neoplasms","C00-D48",11412,Not Applicable,Not Applicable
,"2020 Week 41 ending October 10, 2020","2020/41","Neoplasms","C00-D48",11814,Not Applicable,Not Applicable
,"2020 Week 42 ending October 17, 2020","2020/42","Neoplasms","C00-D48",11304,Not Applicable,Not Applicable
,"2020 Week 43 ending October 24, 2020","2020/43","Neoplasms","C00-D48",11666,Not Applicable,Not Applicable
,"2020 Week 44 ending October 31, 2020","2020/44","Neoplasms","C00-D48",11513,Not Applicable,Not Applicable
,"2020 Week 45 ending November 07, 2020","2020/45","Neoplasms","C00-D48",11795,Not Applicable,Not Applicable
,"2020 Week 46 ending November 14, 2020","2020/46","Neoplasms","C00-D48",11739,Not Applicable,Not Applicable
,"2020 Week 47 ending November 21, 2020","2020/47","Neoplasms","C00-D48",11608,Not Applicable,Not Applicable
,"2020 Week 48 ending November 28, 2020","2020/48","Neoplasms","C00-D48",11380,Not Applicable,Not Applicable
,"2020 Week 49 ending December 05, 2020","2020/49","Neoplasms","C00-D48",11341,Not Applicable,Not Applicable
,"2020 Week 50 ending December 12, 2020","2020/50","Neoplasms","C00-D48",11888,Not Applicable,Not Applicable
,"2020 Week 51 ending December 19, 2020","2020/51","Neoplasms","C00-D48",11774,Not Applicable,Not Applicable
,"2020 Week 52 ending December 26, 2020","2020/52","Neoplasms","C00-D48",11683,Not Applicable,Not Applicable
,"2020 Week 53 ending January 02, 2021","2020/53","Neoplasms","C00-D48",11680,Not Applicable,Not Applicable
,"2021 Week 01 ending January 09, 2021","2021/01","Neoplasms","C00-D48",11322,Not Applicable,Not Applicable
,"2021 Week 02 ending January 16, 2021","2021/02","Neoplasms","C00-D48",11837,Not Applicable,Not Applicable
,"2021 Week 03 ending January 23, 2021","2021/03","Neoplasms","C00-D48",11566,Not Applicable,Not Applicable
,"2021 Week 04 ending January 30, 2021","2021/04","Neoplasms","C00-D48",11681,Not Applicable,Not Applicable
,"2021 Week 05 ending February 06, 2021","2021/05","Neoplasms","C00-D48",11595,Not Applicable,Not Applicable
,"2021 Week 06 ending February 13, 2021","2021/06","Neoplasms","C00-D48",11470,Not Applicable,Not Applicable
,"2021 Week 07 ending February 20, 2021","2021/07","Neoplasms","C00-D48",11404,Not Applicable,Not Applicable
,"2021 Week 08 ending February 27, 2021","2021/08","Neoplasms","C00-D48",11599,Not Applicable,Not Applicable
,"2021 Week 09 ending March 06, 2021","2021/09","Neoplasms","C00-D48",11430,Not Applicable,Not Applicable
,"2021 Week 10 ending March 13, 2021","2021/10","Neoplasms","C00-D48",11403,Not Applicable,Not Applicable
,"2021 Week 11 ending March 20, 2021","2021/11","Neoplasms","C00-D48",11288,Not Applicable,Not Applicable
,"2021 Week 12 ending March 27, 2021","2021/12","Neoplasms","C00-D48",11411,Not Applicable,Not Applicable
,"2021 Week 13 ending April 03, 2021","2021/13","Neoplasms","C00-D48",11083,Not Applicable,Not Applicable
,"2021 Week 14 ending April 10, 2021","2021/14","Neoplasms","C00-D48",11561,Not Applicable,Not Applicable
,"2021 Week 15 ending April 17, 2021","2021/15","Neoplasms","C00-D48",11381,Not Applicable,Not Applicable
,"2021 Week 16 ending April 24, 2021","2021/16","Neoplasms","C00-D48",11568,Not Applicable,Not Applicable
,"2021 Week 17 ending May 01, 2021","2021/17","Neoplasms","C00-D48",11599,Not Applicable,Not Applicable
,"2021 Week 18 ending May 08, 2021","2021/18","Neoplasms","C00-D48",11346,Not Applicable,Not Applicable
,"2021 Week 19 ending May 15, 2021","2021/19","Neoplasms","C00-D48",11525,Not Applicable,Not Applicable
,"2021 Week 20 ending May 22, 2021","2021/20","Neoplasms","C00-D48",11578,Not Applicable,Not Applicable
,"2021 Week 21 ending May 29, 2021","2021/21","Neoplasms","C00-D48",11263,Not Applicable,Not Applicable
,"2021 Week 22 ending June 05, 2021","2021/22","Neoplasms","C00-D48",11484,Not Applicable,Not Applicable
,"2021 Week 23 ending June 12, 2021","2021/23","Neoplasms","C00-D48",11343,Not Applicable,Not Applicable
,"2021 Week 24 ending June 19, 2021","2021/24","Neoplasms","C00-D48",11506,Not Applicable,Not Applicable
,"2021 Week 25 ending June 26, 2021","2021/25","Neoplasms","C00-D48",11488,Not Applicable,Not Applicable
,"2021 Week 26 ending July 03, 2021","2021/26","Neoplasms","C00-D48",11566,Not Applicable,Not Applicable
,"2021 Week 27 ending July 10, 2021","2021/27","Neoplasms","C00-D48",11490,Not Applicable,Not Applicable
,"2021 Week 28 ending July 17, 2021","2021/28","Neoplasms","C00-D48",11566,Not Applicable,Not Applicable
,"2021 Week 29 ending July 24, 2021","2021/29","Neoplasms","C00-D48",11526,Not Applicable,Not Applicable
,"2021 Week 30 ending July 31, 2021","2021/30","Neoplasms","C00-D48",11640,Not Applicable,Not Applicable
,"2021 Week 31 ending August 07, 2021","2021/31","Neoplasms","C00-D48",11777,Not Applicable,Not Applicable
,"2021 Week 32 ending August 14, 2021","2021/32","Neoplasms","C00-D48",11980,Not Applicable,Not Applicable
,"2021 Week 33 ending August 21, 2021","2021/33","Neoplasms","C00-D48",11866,Not Applicable,Not Applicable
,"2021 Week 34 ending August 28, 2021","2021/34","Neoplasms","C00-D48",11765,Not Applicable,Not Applicable
,"2021 Week 35 ending September 04, 2021","2021/35","Neoplasms","C00-D48",11714,Not Applicable,Not Applicable
,"2021 Week 36 ending September 11, 2021","2021/36","Neoplasms","C00-D48",11511,Not Applicable,Not Applicable
,"2021 Week 37 ending September 18, 2021","2021/37","Neoplasms","C00-D48",11821,Not Applicable,Not Applicable
,"2021 Week 38 ending September 25, 2021","2021/38","Neoplasms","C00-D48",11727,Not Applicable,Not Applicable
,"2021 Week 39 ending October 02, 2021","2021/39","Neoplasms","C00-D48",11884,Not Applicable,Not Applicable
,"2021 Week 40 ending October 09, 2021","2021/40","Neoplasms","C00-D48",11726,Not Applicable,Not Applicable
,"2021 Week 41 ending October 16, 2021","2021/41","Neoplasms","C00-D48",11686,Not Applicable,Not Applicable
,"2021 Week 42 ending October 23, 2021","2021/42","Neoplasms","C00-D48",11735,Not Applicable,Not Applicable
,"2021 Week 43 ending October 30, 2021","2021/43","Neoplasms","C00-D48",11735,Not Applicable,Not Applicable
,"2021 Week 44 ending November 06, 2021","2021/44","Neoplasms","C00-D48",11699,Not Applicable,Not Applicable
,"2021 Week 45 ending November 13, 2021","2021/45","Neoplasms","C00-D48",11904,Not Applicable,Not Applicable
,"2021 Week 46 ending November 20, 2021","2021/46","Neoplasms","C00-D48",11639,Not Applicable,Not Applicable
,"2021 Week 47 ending November 27, 2021","2021/47","Neoplasms","C00-D48",11701,Not Applicable,Not Applicable
,"2021 Week 48 ending December 04, 2021","2021/48","Neoplasms","C00-D48",11845,Not Applicable,Not Applicable
,"2021 Week 49 ending December 11, 2021","2021/49","Neoplasms","C00-D48",12084,Not Applicable,Not Applicable
,"2021 Week 50 ending December 18, 2021","2021/50","Neoplasms","C00-D48",11652,Not Applicable,Not Applicable
,"2021 Week 51 ending December 25, 2021","2021/51","Neoplasms","C00-D48",11836,Not Applicable,Not Applicable
,"2021 Week 52 ending January 01, 2022","2021/52","Neoplasms","C00-D48",11655,Not Applicable,Not Applicable
,"2022 Week 01 ending January 08, 2022","2022/01","Neoplasms","C00-D48",11954,Not Applicable,Not Applicable
,"2022 Week 02 ending January 15, 2022","2022/02","Neoplasms","C00-D48",12272,Not Applicable,Not Applicable
,"2022 Week 03 ending January 22, 2022","2022/03","Neoplasms","C00-D48",11963,Not Applicable,Not Applicable
,"2022 Week 04 ending January 29, 2022","2022/04","Neoplasms","C00-D48",11901,Not Applicable,Not Applicable
,"2022 Week 05 ending February 05, 2022","2022/05","Neoplasms","C00-D48",11755,Not Applicable,Not Applicable
,"2022 Week 06 ending February 12, 2022","2022/06","Neoplasms","C00-D48",11837,Not Applicable,Not Applicable
,"2022 Week 07 ending February 19, 2022","2022/07","Neoplasms","C00-D48",11651,Not Applicable,Not Applicable
,"2022 Week 08 ending February 26, 2022","2022/08","Neoplasms","C00-D48",11250,Not Applicable,Not Applicable
,"2022 Week 09 ending March 05, 2022","2022/09","Neoplasms","C00-D48",11538,Not Applicable,Not Applicable
,"2022 Week 10 ending March 12, 2022","2022/10","Neoplasms","C00-D48",11505,Not Applicable,Not Applicable
,"2022 Week 11 ending March 19, 2022","2022/11","Neoplasms","C00-D48",11559,Not Applicable,Not Applicable
,"2022 Week 12 ending March 26, 2022","2022/12","Neoplasms","C00-D48",11412,Not Applicable,Not Applicable
,"2022 Week 13 ending April 02, 2022","2022/13","Neoplasms","C00-D48",11488,Not Applicable,Not Applicable
,"2022 Week 14 ending April 09, 2022","2022/14","Neoplasms","C00-D48",11439,Not Applicable,Not Applicable
,"2022 Week 15 ending April 16, 2022","2022/15","Neoplasms","C00-D48",11468,Not Applicable,Not Applicable
,"2022 Week 16 ending April 23, 2022","2022/16","Neoplasms","C00-D48",11301,Not Applicable,Not Applicable
,"2022 Week 17 ending April 30, 2022","2022/17","Neoplasms","C00-D48",11396,Not Applicable,Not Applicable
,"2022 Week 18 ending May 07, 2022","2022/18","Neoplasms","C00-D48",11244,Not Applicable,Not Applicable
,"2022 Week 19 ending May 14, 2022","2022/19","Neoplasms","C00-D48",11596,Not Applicable,Not Applicable
,"2022 Week 20 ending May 21, 2022","2022/20","Neoplasms","C00-D48",11650,Not Applicable,Not Applicable
,"2022 Week 21 ending May 28, 2022","2022/21","Neoplasms","C00-D48",11343,Not Applicable,Not Applicable
,"2022 Week 22 ending June 04, 2022","2022/22","Neoplasms","C00-D48",11312,Not Applicable,Not Applicable
,"2022 Week 23 ending June 11, 2022","2022/23","Neoplasms","C00-D48",11620,Not Applicable,Not Applicable
,"2022 Week 24 ending June 18, 2022","2022/24","Neoplasms","C00-D48",11173,Not Applicable,Not Applicable
,"2022 Week 25 ending June 25, 2022","2022/25","Neoplasms","C00-D48",11549,Not Applicable,Not Applicable
,"2022 Week 26 ending July 02, 2022","2022/26","Neoplasms","C00-D48",11632,Not Applicable,Not Applicable
,"2022 Week 27 ending July 09, 2022","2022/27","Neoplasms","C00-D48",11393,Not Applicable,Not Applicable
,"2022 Week 28 ending July 16, 2022","2022/28","Neoplasms","C00-D48",11434,Not Applicable,Not Applicable
,"2022 Week 29 ending July 23, 2022","2022/29","Neoplasms","C00-D48",11681,Not Applicable,Not Applicable
,"2022 Week 30 ending July 30, 2022","2022/30","Neoplasms","C00-D48",11617,Not Applicable,Not Applicable
,"2022 Week 31 ending August 06, 2022","2022/31","Neoplasms","C00-D48",11556,Not Applicable,Not Applicable
,"2022 Week 32 ending August 13, 2022","2022/32","Neoplasms","C00-D48",11647,Not Applicable,Not Applicable
,"2022 Week 33 ending August 20, 2022","2022/33","Neoplasms","C00-D48",11674,Not Applicable,Not Applicable
