"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2022 Week 29 ending July 23, 2022","2022/29",11681,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 30 ending July 30, 2022","2022/30",11617,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 31 ending August 06, 2022","2022/31",11556,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 32 ending August 13, 2022","2022/32",11647,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 33 ending August 20, 2022","2022/33",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 34 ending August 27, 2022","2022/34",11546,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 35 ending September 03, 2022","2022/35",11855,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 36 ending September 10, 2022","2022/36",11537,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 37 ending September 17, 2022","2022/37",11785,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 38 ending September 24, 2022","2022/38",11822,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 39 ending October 01, 2022","2022/39",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 40 ending October 08, 2022","2022/40",11874,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 41 ending October 15, 2022","2022/41",11801,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 42 ending October 22, 2022","2022/42",11686,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 43 ending October 29, 2022","2022/43",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 44 ending November 05, 2022","2022/44",11918,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 45 ending November 12, 2022","2022/45",11847,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 46 ending November 19, 2022","2022/46",11949,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 47 ending November 26, 2022","2022/47",12022,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 48 ending December 03, 2022","2022/48",11861,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 49 ending December 10, 2022","2022/49",11996,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 50 ending December 17, 2022","2022/50",12014,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 51 ending December 24, 2022","2022/51",12026,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 52 ending December 31, 2022","2022/52",11961,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 01 ending January 07, 2023","2023/01",11919,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 02 ending January 14, 2023","2023/02",11820,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 03 ending January 21, 2023","2023/03",11991,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 04 ending January 28, 2023","2023/04",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 05 ending February 04, 2023","2023/05",11844,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 06 ending February 11, 2023","2023/06",11970,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 07 ending February 18, 2023","2023/07",11736,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 08 ending February 25, 2023","2023/08",12021,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 09 ending March 04, 2023","2023/09",11675,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 10 ending March 11, 2023","2023/10",11700,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 11 ending March 18, 2023","2023/11",11870,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 12 ending March 25, 2023","2023/12",11777,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 13 ending April 01, 2023","2023/13",11463,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 14 ending April 08, 2023","2023/14",11587,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 15 ending April 15, 2023","2023/15",11587,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 16 ending April 22, 2023","2023/16",11338,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 17 ending April 29, 2023","2023/17",11664,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 18 ending May 06, 2023","2023/18",11701,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 19 ending May 13, 2023","2023/19",11693,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 20 ending May 20, 2023","2023/20",11426,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 21 ending May 27, 2023","2023/21",11531,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 22 ending June 03, 2023","2023/22",11491,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 23 ending June 10, 2023","2023/23",11617,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 24 ending June 17, 2023","2023/24",11845,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 25 ending June 24, 2023","2023/25",11505,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 26 ending July 01, 2023","2023/26",11517,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 27 ending July 08, 2023","2023/27",11603,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 28 ending July 15, 2023","2023/28",11596,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 29 ending July 22, 2023","2023/29",11627,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 30 ending July 29, 2023","2023/30",11743,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 31 ending August 05, 2023","2023/31",11639,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 32 ending August 12, 2023","2023/32",11881,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 33 ending August 19, 2023","2023/33",11719,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 34 ending August 26, 2023","2023/34",11996,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 35 ending September 02, 2023","2023/35",11632,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 36 ending September 09, 2023","2023/36",11673,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 37 ending September 16, 2023","2023/37",11641,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 38 ending September 23, 2023","2023/38",11808,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 39 ending September 30, 2023","2023/39",11821,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 40 ending October 07, 2023","2023/40",12013,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 41 ending October 14, 2023","2023/41",11840,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 42 ending October 21, 2023","2023/42",11993,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 43 ending October 28, 2023","2023/43",11997,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 44 ending November 04, 2023","2023/44",11828,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 45 ending November 11, 2023","2023/45",11990,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 46 ending November 18, 2023","2023/46",11847,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 47 ending November 25, 2023","2023/47",11469,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 48 ending December 02, 2023","2023/48",11972,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 49 ending December 09, 2023","2023/49",12108,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 50 ending December 16, 2023","2023/50",12092,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 51 ending December 23, 2023","2023/51",12193,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2023 Week 52 ending December 30, 2023","2023/52",11967,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 01 ending January 06, 2024 (provisional)","2024/01",11971,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 02 ending January 13, 2024 (provisional)","2024/02",12136,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 03 ending January 20, 2024 (provisional)","2024/03",11959,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 04 ending January 27, 2024 (provisional)","2024/04",12142,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 05 ending February 03, 2024 (provisional)","2024/05",11916,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 06 ending February 10, 2024 (provisional)","2024/06",12102,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 07 ending February 17, 2024 (provisional)","2024/07",11783,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 08 ending February 24, 2024 (provisional)","2024/08",11968,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 09 ending March 02, 2024 (provisional)","2024/09",11989,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 10 ending March 09, 2024 (provisional)","2024/10",11699,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 11 ending March 16, 2024 (provisional)","2024/11",11751,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 12 ending March 23, 2024 (provisional)","2024/12",11769,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 13 ending March 30, 2024 (provisional)","2024/13",11837,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 14 ending April 06, 2024 (provisional)","2024/14",11743,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 15 ending April 13, 2024 (provisional)","2024/15",11838,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 16 ending April 20, 2024 (provisional)","2024/16",11582,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 17 ending April 27, 2024 (provisional)","2024/17",11680,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 18 ending May 04, 2024 (provisional)","2024/18",11731,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 19 ending May 11, 2024 (provisional)","2024/19",11641,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 20 ending May 18, 2024 (provisional)","2024/20",11663,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 21 ending May 25, 2024 (provisional)","2024/21",11568,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 22 ending June 01, 2024 (provisional)","2024/22",11440,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 23 ending June 08, 2024 (provisional)","2024/23",11699,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 24 ending June 15, 2024 (provisional)","2024/24",11745,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 25 ending June 22, 2024 (provisional)","2024/25",11571,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 26 ending June 29, 2024 (provisional)","2024/26",11695,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 27 ending July 06, 2024 (provisional)","2024/27",11783,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 28 ending July 13, 2024 (provisional)","2024/28",11672,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 29 ending July 20, 2024 (provisional)","2024/29",11804,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 30 ending July 27, 2024 (provisional)","2024/30",11836,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 31 ending August 03, 2024 (provisional)","2024/31",12035,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 32 ending August 10, 2024 (provisional)","2024/32",11956,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 33 ending August 17, 2024 (provisional)","2024/33",11897,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 34 ending August 24, 2024 (provisional)","2024/34",11699,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 35 ending August 31, 2024 (provisional)","2024/35",11906,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 36 ending September 07, 2024 (provisional)","2024/36",11699,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 37 ending September 14, 2024 (provisional)","2024/37",11843,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 38 ending September 21, 2024 (provisional)","2024/38",12014,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 39 ending September 28, 2024 (provisional)","2024/39",12061,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 40 ending October 05, 2024 (provisional)","2024/40",11873,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 41 ending October 12, 2024 (provisional)","2024/41",11835,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 42 ending October 19, 2024 (provisional)","2024/42",11861,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 43 ending October 26, 2024 (provisional)","2024/43",11822,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 44 ending November 02, 2024 (provisional)","2024/44",11840,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 45 ending November 09, 2024 (provisional)","2024/45",11777,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 46 ending November 16, 2024 (provisional)","2024/46",12027,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 47 ending November 23, 2024 (provisional)","2024/47",12082,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 48 ending November 30, 2024 (provisional)","2024/48",11864,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 49 ending December 07, 2024 (provisional)","2024/49",12009,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 50 ending December 14, 2024 (provisional)","2024/50",12480,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2024 Week 51 ending December 21, 2024 (provisional)","2024/51",12065,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2024 Week 52 ending December 28, 2024 (provisional)","2024/52",12151,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 01 ending January 04, 2025 (provisional)","2025/01",11898,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 02 ending January 11, 2025 (provisional)","2025/02",12330,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 03 ending January 18, 2025 (provisional)","2025/03",12353,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 04 ending January 25, 2025 (provisional)","2025/04",12411,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 05 ending February 01, 2025 (provisional)","2025/05",12787,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 06 ending February 08, 2025 (provisional)","2025/06",12346,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 07 ending February 15, 2025 (provisional)","2025/07",12125,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 08 ending February 22, 2025 (provisional)","2025/08",12423,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2025 Week 09 ending March 01, 2025 (provisional)","2025/09",12177,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 10 ending March 08, 2025 (provisional)","2025/10",12234,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 11 ending March 15, 2025 (provisional)","2025/11",11946,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 12 ending March 22, 2025 (provisional)","2025/12",11833,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 13 ending March 29, 2025 (provisional)","2025/13",11988,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 14 ending April 05, 2025 (provisional)","2025/14",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 15 ending April 12, 2025 (provisional)","2025/15",11961,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 16 ending April 19, 2025 (provisional)","2025/16",11637,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 17 ending April 26, 2025 (provisional)","2025/17",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 18 ending May 03, 2025 (provisional)","2025/18",11681,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 19 ending May 10, 2025 (provisional)","2025/19",11587,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 20 ending May 17, 2025 (provisional)","2025/20",11776,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 21 ending May 24, 2025 (provisional)","2025/21",11769,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 22 ending May 31, 2025 (provisional)","2025/22",11489,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 23 ending June 07, 2025 (provisional)","2025/23",11862,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 24 ending June 14, 2025 (provisional)","2025/24",11820,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 25 ending June 21, 2025 (provisional)","2025/25",11775,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 26 ending June 28, 2025 (provisional)","2025/26",11724,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 28 ending July 12, 2025 (provisional)","2025/28",11654,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 27 ending July 05, 2025 (provisional)","2025/27",11666,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 29 ending July 19, 2025 (provisional)","2025/29",11777,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 30 ending July 26, 2025 (provisional)","2025/30",11717,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 31 ending August 02, 2025 (provisional)","2025/31",11778,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 32 ending August 09, 2025 (provisional)","2025/32",11619,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 33 ending August 16, 2025 (provisional)","2025/33",11846,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 34 ending August 23, 2025 (provisional)","2025/34",11964,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 35 ending August 30, 2025 (provisional)","2025/35",11878,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 36 ending September 06, 2025 (provisional)","2025/36",11630,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 37 ending September 13, 2025 (provisional)","2025/37",11851,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 38 ending September 20, 2025 (provisional)","2025/38",11768,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 39 ending September 27, 2025 (provisional)","2025/39",12097,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 40 ending October 04, 2025 (provisional)","2025/40",11592,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 41 ending October 11, 2025 (provisional)","2025/41",11783,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 42 ending October 18, 2025 (provisional)","2025/42",11978,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 43 ending October 25, 2025 (provisional)","2025/43",11987,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 44 ending November 01, 2025 (provisional)","2025/44",12073,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 45 ending November 08, 2025 (provisional)","2025/45",12180,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 46 ending November 15, 2025 (provisional)","2025/46",12119,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 47 ending November 22, 2025 (provisional)","2025/47",12023,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 48 ending November 29, 2025 (provisional)","2025/48",11790,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 49 ending December 06, 2025 (provisional)","2025/49",12149,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 50 ending December 13, 2025 (provisional)","2025/50",12054,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 51 ending December 20, 2025 (provisional)","2025/51",12004,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 52 ending December 27, 2025 (provisional)","2025/52",11836,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2025 Week 53 ending January 03, 2026 (provisional)","2025/53",11727,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2026 Week 01 ending January 10, 2026 (provisional)","2026/01",11833,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2026 Week 02 ending January 17, 2026 (provisional)","2026/02",11264,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2026 Week 03 ending January 24, 2026 (provisional)","2026/03",9803,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2026 Week 04 ending January 31, 2026 (provisional)","2026/04",7857,Not Applicable,Not Applicable,Not Applicable,0.2%
"Total",,,4915556,Not Applicable,Not Applicable,Not Applicable,100.0%
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"UCD - ICD-10 Codes: C00-C97 (Malignant neoplasms)"
"Group By: MMWR Week"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 15, 2026 9:18:23 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 15, 2026"
"9:18:23 AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"4. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"5. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"6. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"7. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"8. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"9. Deaths occurring through January 31, 2026 as of February 08, 2026."