"Notes","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"2024 Week 05 ending February 03, 2024 (provisional)","2024/05","Malignant neoplasms","C00-C97",11916,Not Applicable,Not Applicable
,"2024 Week 06 ending February 10, 2024 (provisional)","2024/06","Malignant neoplasms","C00-C97",12102,Not Applicable,Not Applicable
,"2024 Week 07 ending February 17, 2024 (provisional)","2024/07","Malignant neoplasms","C00-C97",11783,Not Applicable,Not Applicable
,"2024 Week 08 ending February 24, 2024 (provisional)","2024/08","Malignant neoplasms","C00-C97",11968,Not Applicable,Not Applicable
,"2024 Week 09 ending March 02, 2024 (provisional)","2024/09","Malignant neoplasms","C00-C97",11989,Not Applicable,Not Applicable
,"2024 Week 10 ending March 09, 2024 (provisional)","2024/10","Malignant neoplasms","C00-C97",11699,Not Applicable,Not Applicable
,"2024 Week 11 ending March 16, 2024 (provisional)","2024/11","Malignant neoplasms","C00-C97",11751,Not Applicable,Not Applicable
,"2024 Week 12 ending March 23, 2024 (provisional)","2024/12","Malignant neoplasms","C00-C97",11769,Not Applicable,Not Applicable
,"2024 Week 13 ending March 30, 2024 (provisional)","2024/13","Malignant neoplasms","C00-C97",11837,Not Applicable,Not Applicable
,"2024 Week 14 ending April 06, 2024 (provisional)","2024/14","Malignant neoplasms","C00-C97",11743,Not Applicable,Not Applicable
,"2024 Week 15 ending April 13, 2024 (provisional)","2024/15","Malignant neoplasms","C00-C97",11838,Not Applicable,Not Applicable
,"2024 Week 16 ending April 20, 2024 (provisional)","2024/16","Malignant neoplasms","C00-C97",11582,Not Applicable,Not Applicable
,"2024 Week 17 ending April 27, 2024 (provisional)","2024/17","Malignant neoplasms","C00-C97",11680,Not Applicable,Not Applicable
,"2024 Week 18 ending May 04, 2024 (provisional)","2024/18","Malignant neoplasms","C00-C97",11731,Not Applicable,Not Applicable
,"2024 Week 19 ending May 11, 2024 (provisional)","2024/19","Malignant neoplasms","C00-C97",11641,Not Applicable,Not Applicable
,"2024 Week 20 ending May 18, 2024 (provisional)","2024/20","Malignant neoplasms","C00-C97",11663,Not Applicable,Not Applicable
,"2024 Week 21 ending May 25, 2024 (provisional)","2024/21","Malignant neoplasms","C00-C97",11568,Not Applicable,Not Applicable
,"2024 Week 22 ending June 01, 2024 (provisional)","2024/22","Malignant neoplasms","C00-C97",11440,Not Applicable,Not Applicable
,"2024 Week 23 ending June 08, 2024 (provisional)","2024/23","Malignant neoplasms","C00-C97",11699,Not Applicable,Not Applicable
,"2024 Week 24 ending June 15, 2024 (provisional)","2024/24","Malignant neoplasms","C00-C97",11745,Not Applicable,Not Applicable
,"2024 Week 25 ending June 22, 2024 (provisional)","2024/25","Malignant neoplasms","C00-C97",11571,Not Applicable,Not Applicable
,"2024 Week 26 ending June 29, 2024 (provisional)","2024/26","Malignant neoplasms","C00-C97",11695,Not Applicable,Not Applicable
,"2024 Week 27 ending July 06, 2024 (provisional)","2024/27","Malignant neoplasms","C00-C97",11783,Not Applicable,Not Applicable
,"2024 Week 28 ending July 13, 2024 (provisional)","2024/28","Malignant neoplasms","C00-C97",11672,Not Applicable,Not Applicable
,"2024 Week 29 ending July 20, 2024 (provisional)","2024/29","Malignant neoplasms","C00-C97",11804,Not Applicable,Not Applicable
,"2024 Week 30 ending July 27, 2024 (provisional)","2024/30","Malignant neoplasms","C00-C97",11836,Not Applicable,Not Applicable
,"2024 Week 31 ending August 03, 2024 (provisional)","2024/31","Malignant neoplasms","C00-C97",12035,Not Applicable,Not Applicable
,"2024 Week 32 ending August 10, 2024 (provisional)","2024/32","Malignant neoplasms","C00-C97",11956,Not Applicable,Not Applicable
,"2024 Week 33 ending August 17, 2024 (provisional)","2024/33","Malignant neoplasms","C00-C97",11897,Not Applicable,Not Applicable
,"2024 Week 34 ending August 24, 2024 (provisional)","2024/34","Malignant neoplasms","C00-C97",11699,Not Applicable,Not Applicable
,"2024 Week 35 ending August 31, 2024 (provisional)","2024/35","Malignant neoplasms","C00-C97",11906,Not Applicable,Not Applicable
,"2024 Week 36 ending September 07, 2024 (provisional)","2024/36","Malignant neoplasms","C00-C97",11699,Not Applicable,Not Applicable
,"2024 Week 37 ending September 14, 2024 (provisional)","2024/37","Malignant neoplasms","C00-C97",11843,Not Applicable,Not Applicable
,"2024 Week 38 ending September 21, 2024 (provisional)","2024/38","Malignant neoplasms","C00-C97",12014,Not Applicable,Not Applicable
,"2024 Week 39 ending September 28, 2024 (provisional)","2024/39","Malignant neoplasms","C00-C97",12061,Not Applicable,Not Applicable
,"2024 Week 40 ending October 05, 2024 (provisional)","2024/40","Malignant neoplasms","C00-C97",11873,Not Applicable,Not Applicable
,"2024 Week 41 ending October 12, 2024 (provisional)","2024/41","Malignant neoplasms","C00-C97",11835,Not Applicable,Not Applicable
,"2024 Week 42 ending October 19, 2024 (provisional)","2024/42","Malignant neoplasms","C00-C97",11861,Not Applicable,Not Applicable
,"2024 Week 43 ending October 26, 2024 (provisional)","2024/43","Malignant neoplasms","C00-C97",11822,Not Applicable,Not Applicable
,"2024 Week 44 ending November 02, 2024 (provisional)","2024/44","Malignant neoplasms","C00-C97",11840,Not Applicable,Not Applicable
,"2024 Week 45 ending November 09, 2024 (provisional)","2024/45","Malignant neoplasms","C00-C97",11777,Not Applicable,Not Applicable
,"2024 Week 46 ending November 16, 2024 (provisional)","2024/46","Malignant neoplasms","C00-C97",12027,Not Applicable,Not Applicable
,"2024 Week 47 ending November 23, 2024 (provisional)","2024/47","Malignant neoplasms","C00-C97",12082,Not Applicable,Not Applicable
,"2024 Week 48 ending November 30, 2024 (provisional)","2024/48","Malignant neoplasms","C00-C97",11864,Not Applicable,Not Applicable
,"2024 Week 49 ending December 07, 2024 (provisional)","2024/49","Malignant neoplasms","C00-C97",12009,Not Applicable,Not Applicable
,"2024 Week 50 ending December 14, 2024 (provisional)","2024/50","Malignant neoplasms","C00-C97",12480,Not Applicable,Not Applicable
,"2024 Week 51 ending December 21, 2024 (provisional)","2024/51","Malignant neoplasms","C00-C97",12065,Not Applicable,Not Applicable
,"2024 Week 52 ending December 28, 2024 (provisional)","2024/52","Malignant neoplasms","C00-C97",12151,Not Applicable,Not Applicable
,"2025 Week 01 ending January 04, 2025 (provisional)","2025/01","Malignant neoplasms","C00-C97",11898,Not Applicable,Not Applicable
,"2025 Week 02 ending January 11, 2025 (provisional)","2025/02","Malignant neoplasms","C00-C97",12330,Not Applicable,Not Applicable
,"2025 Week 03 ending January 18, 2025 (provisional)","2025/03","Malignant neoplasms","C00-C97",12353,Not Applicable,Not Applicable
,"2025 Week 04 ending January 25, 2025 (provisional)","2025/04","Malignant neoplasms","C00-C97",12411,Not Applicable,Not Applicable
,"2025 Week 05 ending February 01, 2025 (provisional)","2025/05","Malignant neoplasms","C00-C97",12787,Not Applicable,Not Applicable
,"2025 Week 06 ending February 08, 2025 (provisional)","2025/06","Malignant neoplasms","C00-C97",12346,Not Applicable,Not Applicable
,"2025 Week 07 ending February 15, 2025 (provisional)","2025/07","Malignant neoplasms","C00-C97",12125,Not Applicable,Not Applicable
,"2025 Week 08 ending February 22, 2025 (provisional)","2025/08","Malignant neoplasms","C00-C97",12423,Not Applicable,Not Applicable
,"2025 Week 09 ending March 01, 2025 (provisional)","2025/09","Malignant neoplasms","C00-C97",12177,Not Applicable,Not Applicable
,"2025 Week 10 ending March 08, 2025 (provisional)","2025/10","Malignant neoplasms","C00-C97",12234,Not Applicable,Not Applicable
,"2025 Week 11 ending March 15, 2025 (provisional)","2025/11","Malignant neoplasms","C00-C97",11946,Not Applicable,Not Applicable
,"2025 Week 12 ending March 22, 2025 (provisional)","2025/12","Malignant neoplasms","C00-C97",11833,Not Applicable,Not Applicable
,"2025 Week 13 ending March 29, 2025 (provisional)","2025/13","Malignant neoplasms","C00-C97",11988,Not Applicable,Not Applicable
,"2025 Week 14 ending April 05, 2025 (provisional)","2025/14","Malignant neoplasms","C00-C97",11674,Not Applicable,Not Applicable
,"2025 Week 15 ending April 12, 2025 (provisional)","2025/15","Malignant neoplasms","C00-C97",11961,Not Applicable,Not Applicable
,"2025 Week 16 ending April 19, 2025 (provisional)","2025/16","Malignant neoplasms","C00-C97",11637,Not Applicable,Not Applicable
,"2025 Week 17 ending April 26, 2025 (provisional)","2025/17","Malignant neoplasms","C00-C97",11674,Not Applicable,Not Applicable
,"2025 Week 18 ending May 03, 2025 (provisional)","2025/18","Malignant neoplasms","C00-C97",11681,Not Applicable,Not Applicable
,"2025 Week 19 ending May 10, 2025 (provisional)","2025/19","Malignant neoplasms","C00-C97",11587,Not Applicable,Not Applicable
,"2025 Week 20 ending May 17, 2025 (provisional)","2025/20","Malignant neoplasms","C00-C97",11776,Not Applicable,Not Applicable
,"2025 Week 21 ending May 24, 2025 (provisional)","2025/21","Malignant neoplasms","C00-C97",11769,Not Applicable,Not Applicable
,"2025 Week 22 ending May 31, 2025 (provisional)","2025/22","Malignant neoplasms","C00-C97",11489,Not Applicable,Not Applicable
,"2025 Week 23 ending June 07, 2025 (provisional)","2025/23","Malignant neoplasms","C00-C97",11862,Not Applicable,Not Applicable
,"2025 Week 24 ending June 14, 2025 (provisional)","2025/24","Malignant neoplasms","C00-C97",11820,Not Applicable,Not Applicable
,"2025 Week 25 ending June 21, 2025 (provisional)","2025/25","Malignant neoplasms","C00-C97",11775,Not Applicable,Not Applicable
,"2025 Week 26 ending June 28, 2025 (provisional)","2025/26","Malignant neoplasms","C00-C97",11724,Not Applicable,Not Applicable
,"2025 Week 27 ending July 05, 2025 (provisional)","2025/27","Malignant neoplasms","C00-C97",11666,Not Applicable,Not Applicable
,"2025 Week 28 ending July 12, 2025 (provisional)","2025/28","Malignant neoplasms","C00-C97",11654,Not Applicable,Not Applicable
,"2025 Week 29 ending July 19, 2025 (provisional)","2025/29","Malignant neoplasms","C00-C97",11777,Not Applicable,Not Applicable
,"2025 Week 30 ending July 26, 2025 (provisional)","2025/30","Malignant neoplasms","C00-C97",11717,Not Applicable,Not Applicable
,"2025 Week 31 ending August 02, 2025 (provisional)","2025/31","Malignant neoplasms","C00-C97",11778,Not Applicable,Not Applicable
,"2025 Week 32 ending August 09, 2025 (provisional)","2025/32","Malignant neoplasms","C00-C97",11619,Not Applicable,Not Applicable
,"2025 Week 33 ending August 16, 2025 (provisional)","2025/33","Malignant neoplasms","C00-C97",11846,Not Applicable,Not Applicable
,"2025 Week 34 ending August 23, 2025 (provisional)","2025/34","Malignant neoplasms","C00-C97",11964,Not Applicable,Not Applicable
,"2025 Week 35 ending August 30, 2025 (provisional)","2025/35","Malignant neoplasms","C00-C97",11878,Not Applicable,Not Applicable
,"2025 Week 36 ending September 06, 2025 (provisional)","2025/36","Malignant neoplasms","C00-C97",11630,Not Applicable,Not Applicable
,"2025 Week 37 ending September 13, 2025 (provisional)","2025/37","Malignant neoplasms","C00-C97",11851,Not Applicable,Not Applicable
,"2025 Week 38 ending September 20, 2025 (provisional)","2025/38","Malignant neoplasms","C00-C97",11768,Not Applicable,Not Applicable
,"2025 Week 39 ending September 27, 2025 (provisional)","2025/39","Malignant neoplasms","C00-C97",12097,Not Applicable,Not Applicable
,"2025 Week 40 ending October 04, 2025 (provisional)","2025/40","Malignant neoplasms","C00-C97",11592,Not Applicable,Not Applicable
,"2025 Week 41 ending October 11, 2025 (provisional)","2025/41","Malignant neoplasms","C00-C97",11783,Not Applicable,Not Applicable
,"2025 Week 42 ending October 18, 2025 (provisional)","2025/42","Malignant neoplasms","C00-C97",11978,Not Applicable,Not Applicable
,"2025 Week 43 ending October 25, 2025 (provisional)","2025/43","Malignant neoplasms","C00-C97",11987,Not Applicable,Not Applicable
,"2025 Week 44 ending November 01, 2025 (provisional)","2025/44","Malignant neoplasms","C00-C97",12073,Not Applicable,Not Applicable
,"2025 Week 45 ending November 08, 2025 (provisional)","2025/45","Malignant neoplasms","C00-C97",12180,Not Applicable,Not Applicable
,"2025 Week 46 ending November 15, 2025 (provisional)","2025/46","Malignant neoplasms","C00-C97",12119,Not Applicable,Not Applicable
,"2025 Week 47 ending November 22, 2025 (provisional)","2025/47","Malignant neoplasms","C00-C97",12023,Not Applicable,Not Applicable
,"2025 Week 48 ending November 29, 2025 (provisional)","2025/48","Malignant neoplasms","C00-C97",11790,Not Applicable,Not Applicable
,"2025 Week 49 ending December 06, 2025 (provisional)","2025/49","Malignant neoplasms","C00-C97",12149,Not Applicable,Not Applicable
,"2025 Week 50 ending December 13, 2025 (provisional)","2025/50","Malignant neoplasms","C00-C97",12054,Not Applicable,Not Applicable
,"2025 Week 51 ending December 20, 2025 (provisional)","2025/51","Malignant neoplasms","C00-C97",12004,Not Applicable,Not Applicable
,"2025 Week 52 ending December 27, 2025 (provisional)","2025/52","Malignant neoplasms","C00-C97",11836,Not Applicable,Not Applicable
,"2025 Week 53 ending January 03, 2026 (provisional)","2025/53","Malignant neoplasms","C00-C97",11727,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MMWR Year/Week: 2018; 2019; 2020; 2021; 2022; 2023; 2024 (provisional); 2025 (provisional and partial)"
"UCD - ICD-10 Codes: C00-C97 (Malignant neoplasms)"
"Group By: MMWR Week; UCD - ICD Sub-Chapter"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 15, 2026 12:15:51 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 15, 2026"
"12:15:51 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are"
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full"
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in"
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"7. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"8. Deaths related to external causes of injury or sudden death: In the provisional mortality data, causes of death classified as"
"external causes of injury (ICD-10 codes V01-Y89), sudden deaths (ICD-10 codes R95 and R96), or drug poisoning (ICD-10 codes"
"T36-T50), have the cause of death labeled as 'Data not shown due to 6 month lag to account for delays in death certificate"
"completion for certain causes of death.' For these deaths occurring 24 weeks prior to the final date in the provisional data,"
"the number of deaths and related statistics are not available by specific cause of death for ICD-10 codes V01-Y89, R95, R96, or"
"T36-T50. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#999."
"9. Deaths occurring through January 31, 2026 as of February 08, 2026."